#this format is:
#index t X V
588 5.87 7.31559357054 -1.04064294599
589 5.88 7.30544396277 -1.05560372321
590 5.89 7.29409652852 -1.09034714791
591 5.9 7.28278407697 -1.12159230256
592 5.91 7.27176004721 -1.12399527917
593 5.92 7.26043830267 -1.15616973262
594 5.93 7.24842068728 -1.15793127226
595 5.94 7.23649621395 -1.15037860491
596 5.95 7.22474853192 -1.12514680839
597 5.96 7.2136309637 -1.13690362993
598 5.97 7.20279834282 -1.12016571764
599 5.98 7.19185765214 -1.11423478603
600 5.99 7.18126821472 -1.07317852768
601 6.0 7.17059443837 -1.04055616261
602 6.01 7.16113670925 -0.986329075235
603 6.02 7.15138363473 -0.961636526911
604 6.03 7.14170702344 -0.92929765622
605 6.04 7.13323343766 -0.876656234217
606 6.05 7.12452210304 -0.847789695997
607 6.06 7.11696143909 -0.803856091271
608 6.07 7.10975130241 -0.724869759142
609 6.08 7.10340958971 -0.659041029342
610 6.09 7.09678437149 -0.62156285129
611 6.1 7.09131507125 -0.568492874925
612 6.11 7.08601202031 -0.498797968768
613 6.12 7.08140360836 -0.459639164017
614 6.13 7.0770186154 -0.398138460412
615 6.14 7.0738177146 -0.318228539859
616 6.15 7.07109796908 -0.290203092109
617 6.16 7.06867177817 -0.232822183165
618 6.17 7.06734962628 -0.165037372226
619 6.18 7.06595901032 -0.104098967652
620 6.19 7.06566202183 -0.0337978174958
621 6.2 7.06598779918 -0.00122008192889
622 6.21 7.06673173551 0.0731735505037
623 6.22 7.06812894786 0.112894786482
624 6.23 7.06977652199 0.177652199446
625 6.24 7.07226606152 0.226606151825
626 6.25 7.07491967532 0.29196753245
627 6.26 7.07841950276 0.34195027625
628 6.27 7.08212864248 0.412864247681
629 6.28 7.08663742503 0.463742503401
630 6.29 7.0919248841 0.492488410432
631 6.3 7.09725789235 0.525789235267
632 6.31 7.10270178722 0.570178721865
633 6.32 7.10933987323 0.633987323305
634 6.33 7.11595629518 0.695629518308
635 6.34 7.12328230678 0.728230678305
636 6.35 7.13039712 0.739711999879
637 6.36 7.13794191565 0.79419156519
638 6.37 7.14607518197 0.807518197388
639 6.38 7.15418451003 0.818451003215
640 6.39 7.16257850262 0.85785026181
641 6.4 7.17192722595 0.892722594595
642 6.41 7.18116112194 0.916112193758
643 6.42 7.19001242445 0.901242445443
644 6.43 7.19918300374 0.918300374005
645 6.44 7.20816608075 0.916608074823
646 6.45 7.21745098383 0.945098382564
647 6.46 7.22642696102 0.942696101888
648 6.47 7.23555544125 0.955544125167
649 6.48 7.24550337354 0.950337354369
650 6.49 7.25543374989 0.94337498916
651 6.5 7.26415936455 0.915936455421
652 6.51 7.2729923346 0.899233459644
653 6.52 7.28187938199 0.887938199122
654 6.53 7.29057730307 0.857730307423
655 6.54 7.29934806298 0.834806298052
656 6.55 7.30679917929 0.77991792862
657 6.56 7.31429550064 0.729550064243
658 6.57 7.32105855862 0.705855862022
659 6.58 7.32730444929 0.630444929195
660 6.59 7.33276073882 0.576073881846
661 6.6 7.33823272269 0.523272269413
662 6.61 7.34257965722 0.457965721737
663 6.62 7.3470587678 0.405876779802
664 6.63 7.35054031784 0.354031783616
665 6.64 7.35388279206 0.288279206382
666 6.65 7.35634095205 0.234095204659
667 6.66 7.35781882587 0.181882586938
668 6.67 7.35937835856 0.137835855971
669 6.68 7.35976451306 0.0764513058715
670 6.69 7.36020374867 0.0203748674897
671 6.7 7.35932502001 -0.0674979986517
672 6.71 7.35779444003 -0.120555996907
673 6.72 7.35635714853 -0.164285147044
674 6.73 7.35392140157 -0.207859842645
675 6.74 7.35148616262 -0.251383737646
676 6.75 7.34803601095 -0.296398904651
677 6.76 7.34479080016 -0.3209199837
678 6.77 7.34134308561 -0.365691439398
679 6.78 7.33716140625 -0.383859374771
680 6.79 7.33297376376 -0.402623623874
681 6.8 7.32864671532 -0.435328467634
